@id,@lon,@lat,name,cuisine,opening_hours,addr:street,smoking,amenity
2294320125,21.4080594,41.9931670,Два Елена,,,,,restaurant
2316032925,20.8016318,41.0764180,Македонска куќа,,,,,restaurant
2316119134,22.4104224,41.9176668,Капри,,,,,restaurant
2316156248,21.3356564,41.0295644,Pizza Metro,pizza,,,,restaurant
2316156253,21.3353453,41.0296756,SM-Sport,,,,,fast_food
2316156279,21.3368286,41.0256207,Пицерија Лео,,,,,restaurant
2320912360,22.4104385,41.9172558,Aquarium,,,,,restaurant
2320912421,22.4102588,41.9180760,Balkanlux,,,,,restaurant
2320923929,22.4101783,41.9187207,Bakery Kamel,,,,,restaurant
2322886873,21.4302915,41.9952825,Арабеска,regional,,,,restaurant
2324290153,21.3323916,42.0033910,Ореов Лад,macedonian,,,,restaurant
2333163643,21.2993843,41.9502955,Кањон Матка,regional,,,,restaurant
2334423406,21.2961533,41.9610975,Манастирска пештера,regional,,,,restaurant
2357239839,20.9594822,41.5118075,Gallery,italian;pizza;regional,,,,restaurant
2360748743,22.5011779,41.1460470,ТДЦ-3,,,,,restaurant
2364883016,22.8753161,40.9946053,Μεζέ-μεζέ,,,,,restaurant
2377937978,20.8123651,41.1084477,Restoran Gros,,,,,restaurant
2377938382,20.8148703,41.1028959,Ресторан Билјанини Извори,,,,,restaurant
2377969132,20.8081755,41.1048119,Big Pi,,,,,fast_food
2377969280,20.8001299,41.1135504,Pink Panter,,,,,fast_food
2387561655,20.9508952,41.5115542,Atva,regional,,,,restaurant
2406002719,22.6452777,41.4378354,Вкус,regional,,Гоце Делчев,,restaurant
2411306190,22.4963093,41.1622759,Јавор Агапи,,,,,restaurant
2411329687,21.4117168,42.0131608,Фиш,fish,,,,restaurant
2465901189,22.6328921,41.4352537,Loven Dom,regional,,Neretva,,restaurant
2472332550,21.4330638,41.9855468,Go Get Burger,,,,,fast_food
2477123089,21.8625680,42.1574944,Етно Село,regional,,,,restaurant
2477129912,21.8645555,42.1324603,Fratelis,fish,,,,restaurant
2535205987,22.0130335,41.4327641,Buki,,,,,restaurant
2557554508,22.9422359,41.7297622,Идила,,,,,restaurant
2574272022,22.3059103,42.1902652,Борче,regional,,Konopnica,,restaurant
2574272026,22.3089155,42.1922890,Облаче,regional,,,,restaurant
2578029326,22.3466279,42.2123127,македонија,regional,,Marshal Tito,,restaurant
2580192144,21.4727082,41.9650429,Градина,,,,,restaurant
2695392360,21.4343506,41.9954474,Casa Cubana,,10:00-24:00  Fr-Sa 10:00-01:00,Кеј 13 Ноември,outside,pub
2759066732,20.8011769,41.1123103,Белведере,regional,,,outside,restaurant
2818872887,21.4145137,42.0051241,Сокаче,,08:00 - 00:00,Драган Ѓаконовски Шпато,,restaurant
2835853871,20.9586380,41.9861550,Emka,regional,,Илинденска,yes,restaurant
2836143233,20.7408761,42.2088821,Besimi Beska,,,,,restaurant
2836143250,20.7432568,42.2098998,Ambient,,,,,restaurant
2858315264,21.4167758,42.0035281,DM Restaurant,regional,10:00-00:00,Орце Николов,,fast_food
2883877896,21.4522729,41.9914536,Every Day,,,,,restaurant
2887575858,21.4635675,41.9893772,Лесковачка Вили,,,,,fast_food
2891531722,22.5889401,42.0244107,Шизик,,,,,restaurant
2891533000,22.5876630,42.0179585,Osmica,regional,,,,restaurant
2891537201,22.5914449,42.0170338,"Kaj Govedoto" Restaurant,balkan;regional,,,isolated,restaurant
2905985671,22.5886582,42.0178835,Shizik Restaurant,regional;pizza;kebab;chicken,,,outside,restaurant
2905985814,22.5899229,42.0195336,"Koko" Restaurant,kebab;regional;barbecue,,,outside,restaurant
2984088703,20.8016787,41.0678423,Prestol,,07:00-21:00,,,restaurant
2992064333,20.8009009,41.0666434,Granit,,,,,restaurant
3005348016,20.8002909,41.1163410,Meydan,,,,,restaurant
3020876346,21.3236858,42.0597023,Старо Буре,,,,,restaurant
3042882683,20.6973913,42.2442660,Lindi Com,,,,,restaurant
3042895666,20.6399055,42.3108727,AH Dukagjini,,,,,restaurant
3058661474,20.7110150,40.9012571,Restaurant New Titanic,,,,,restaurant
3085981445,20.8031982,41.0459402,Dva Bisera,Spécialités_Locales,,,,restaurant
3099553252,21.6269380,41.9612516,Burger King,burger,,,no,fast_food
3100113750,20.8026136,41.1140172,Фopтунa,regional,Mo-Su 07:00-24:00,Димитар Влахов,outside,restaurant
3100114475,20.8006878,41.1150114,Irish Pub,,,Македонски Просветители,,pub
3101726040,21.4366005,42.0000179,Пивница АН,regional,Mo-Sa 09:00-24:00; Su 12:00-24:00,Градиште,separated,restaurant
3109618757,22.5008568,41.1426925,CLIQUE,,,,,fast_food
3148698723,22.4529562,40.9466068,Το πέρασμα,,,,,fast_food
3148698815,22.5729687,40.9945038,Το καραφάκι,,,,,restaurant
3162735462,22.4618480,41.6379460,Fast Food Melani,burger,,,,fast_food
3162741161,22.4616400,41.6382010,Grill Melani,burger,,22 октомври,,fast_food
3162746561,22.4601880,41.6397590,Target,italian,,Ана Поцкова,no,restaurant
3162749461,22.4604120,41.6409570,Jocker pizza,italian,,Кеј 8ми Септември,no,restaurant
3162751061,22.4613780,41.6401840,Getsbi pizza,italian,,Кеј 8ми Септември,no,restaurant
3162755761,22.4657240,41.6346560,Vrteska,barbecue,,Самуилова,no,restaurant
3162763261,22.4640190,41.6341400,Gone,barbecue,,,no,restaurant
3162772765,22.4644900,41.6334960,Sopka,barbecue,,,no,restaurant
3162778861,22.4629430,41.6365660,Karagjoz,barbecue,,,no,restaurant
3162791061,22.4463100,41.6295960,Magmar,barbecue,,,no,restaurant
3162794862,22.4613270,41.6390650,Beverli hils,barbecue,,,no,restaurant
3162794863,22.4621860,41.6391330,Shona,barbecue,,,no,restaurant
3162794961,22.4567890,41.6338950,Santa Maria pizza,italian,,,,restaurant
3162795861,22.4632720,41.6376110,Makedonsko Sonce,regional,,,no,restaurant
3162796461,22.4621990,41.6392500,Lastik,barbecue,,,no,restaurant
3187744351,22.4655280,41.6377820,Lipa,barbecue,,,no,restaurant
3187745933,22.4630600,41.6387670,Maslac,barbecue,,,no,restaurant
3304519276,21.4634495,41.9892217,Лесковац,,,Булевар Јане Сандански,isolated,fast_food
3341289789,21.4297981,41.9925716,Damaskino,,,Македонија,,restaurant
